Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Workload_Index
0,0,1,2.0,5.0,7.2,0.67,1.0
1,1,1,1.0,3.0,6.7,0.46,0.3
0,1,1,3.0,8.0,7.5,0.72,2.4
0,1,0,4.0,7.0,7.5,0.65,2.8
0,0,0,0.0,1.0,4.0,0.24,0.0
0,1,1,1.0,3.0,5.3,0.41,0.3
0,0,0,2.0,5.0,7.5,0.68,1.0
1,0,0,4.0,7.0,7.7,0.72,2.8
1,1,1,0.0,2.0,4.4,0.33,0.0
1,1,1,3.0,5.0,6.5,0.48,1.5
1,0,1,2.0,4.0,5.5,0.48,0.8
1,1,0,2.0,5.0,5.0,0.36,1.0
1,0,0,4.0,10.0,9.2,0.91,4.0
0,0,1,1.0,2.0,4.1,0.24,0.2
0,1,0,3.0,6.0,5.5,0.45,1.8
1,1,0,5.0,9.0,8.8,0.85,4.5
0,1,0,2.0,4.0,5.5,0.34,0.8
1,0,1,1.0,3.0,5.9,0.36,0.3
0,1,1,2.0,4.0,4.5,0.34,0.8
1,0,0,3.0,6.0,8.0,0.59,1.8
0,1,1,2.0,4.0,5.8,0.44,0.8
1,1,0,1.0,3.0,4.4,0.38,0.3
1,0,0,3.0,6.0,7.5,0.59,1.8
0,1,0,2.0,7.0,8.0,0.7,1.4
1,0,0,2.0,3.0,6.1,0.42,0.6
1,0,1,1.0,2.0,5.1,0.46,0.2
0,1,1,3.0,5.0,4.7,0.39,1.5
0,1,1,3.0,5.0,5.2,0.42,1.5
1,0,1,0.0,1.0,0.0,0.0,0.0
0,1,1,2.0,5.0,5.1,0.46,1.0
1,0,1,1.0,2.0,4.4,0.3,0.2
0,0,0,4.0,6.0,6.9,0.63,2.4
0,1,0,2.0,5.0,5.3,0.45,1.0
0,1,1,3.0,6.0,6.0,0.58,1.8
1,0,0,4.0,7.0,8.6,0.67,2.8
1,1,0,2.0,5.0,7.3,0.71,1.0
0,1,1,1.0,3.0,5.5,0.48,0.3
1,1,1,1.0,3.0,2.9,0.22,0.3
0,0,0,3.0,6.0,5.1,0.43,1.8
1,1,0,2.0,5.0,6.4,0.57,1.0
0,1,1,3.0,4.0,6.1,0.47,1.2
0,1,1,3.0,5.0,5.3,0.47,1.5
0,0,1,1.0,4.0,5.5,0.34,0.4
0,1,1,1.0,3.0,5.5,0.37,0.3
0,1,0,3.0,7.0,7.8,0.8,2.1
1,0,0,4.0,8.0,8.9,0.8,3.2
0,1,1,1.0,4.0,6.9,0.49,0.4
1,1,1,0.0,1.0,0.0,0.0,0.0
1,1,1,4.0,9.0,9.3,0.86,3.6
0,1,1,1.0,2.0,4.6,0.33,0.2
0,1,1,3.0,6.0,5.7,0.5,1.8
0,1,1,2.0,4.0,4.5,0.34,0.8
1,0,1,0.0,2.0,4.7,0.23,0.0
1,0,0,4.0,8.0,9.9,0.92,3.2
0,1,1,3.0,6.0,6.3,0.44,1.8
0,1,1,1.0,3.0,3.6,0.15,0.3
0,1,1,0.0,2.0,4.3,0.32,0.0
0,1,1,3.0,4.0,6.5,0.43,1.2
1,1,0,4.0,9.0,8.7,0.78,3.6
1,1,1,0.0,1.0,3.1,0.23,0.0
1,1,1,2.0,4.0,3.6,0.21,0.8
1,1,1,1.0,2.0,3.6,0.23,0.2
0,0,1,3.0,5.0,5.7,0.4,1.5
0,1,1,2.0,5.0,5.7,0.38,1.0
0,1,0,0.0,1.0,0.5,0.0,0.0
0,0,0,2.0,4.0,3.9,0.33,0.8
0,0,0,2.0,5.0,7.0,0.62,1.0
1,1,1,3.0,4.0,5.4,0.36,1.2
0,1,1,2.0,3.0,3.7,0.28,0.6
0,1,1,2.0,4.0,6.1,0.41,0.8
1,1,1,0.0,1.0,2.8,0.1,0.0
0,1,0,2.0,4.0,6.9,0.63,0.8
1,1,1,3.0,7.0,7.3,0.67,2.1
1,1,0,3.0,7.0,7.2,0.62,2.1
1,1,1,2.0,7.0,9.0,0.77,1.4
0,1,0,0.0,1.0,0.0,0.0,0.0
1,0,1,2.0,6.0,5.6,0.51,1.2
0,1,1,2.0,4.0,6.8,0.61,0.8
0,1,1,1.0,3.0,5.1,0.41,0.3
0,1,1,3.0,5.0,6.0,0.53,1.5
0,1,1,1.0,3.0,6.8,0.5,0.3
1,0,1,2.0,5.0,6.5,0.55,1.0
1,1,1,4.0,6.0,5.7,0.49,2.4
1,0,1,3.0,5.0,6.1,0.44,1.5
1,1,1,3.0,7.0,8.8,0.7,2.1
0,1,1,1.0,2.0,6.8,0.48,0.2
1,1,0,2.0,5.0,6.8,0.6,1.0
1,0,1,2.0,4.0,5.5,0.48,0.8
0,1,1,2.0,3.0,4.5,0.21,0.6
0,0,0,2.0,2.0,2.6,0.15,0.4
1,1,0,5.0,10.0,10.0,0.98,5.0
0,1,1,1.0,2.0,4.3,0.25,0.2
1,0,0,3.0,8.0,8.8,0.7,2.4
0,1,0,4.0,7.0,7.2,0.69,2.8
1,1,1,1.0,3.0,4.4,0.33,0.3
0,1,0,2.0,4.0,5.5,0.44,0.8
0,0,0,2.0,5.0,7.8,0.57,1.0
1,0,1,1.0,3.0,4.5,0.27,0.3
1,1,0,4.0,6.0,6.7,0.67,2.4
0,1,0,1.0,1.0,3.4,0.25,0.1
0,1,0,0.0,1.0,3.6,0.18,0.0
0,0,0,3.0,7.0,7.9,0.6,2.1
0,1,1,2.0,5.0,5.3,0.39,1.0
0,1,1,1.0,3.0,5.3,0.34,0.3
0,0,0,3.0,6.0,5.5,0.52,1.8
0,0,0,1.0,3.0,5.4,0.42,0.3
1,0,1,1.0,1.0,4.8,0.28,0.1
0,0,1,2.0,4.0,6.2,0.38,0.8
1,0,0,4.0,6.0,6.9,0.59,2.4
0,0,1,2.0,5.0,8.0,0.62,1.0
1,0,0,3.0,7.0,8.7,0.76,2.1
0,1,0,1.0,3.0,4.2,0.33,0.3
1,1,0,2.0,2.0,4.2,0.28,0.4
0,1,0,3.0,6.0,7.2,0.62,1.8
0,1,1,2.0,4.0,5.2,0.45,0.8
1,1,1,2.0,2.0,3.3,0.24,0.4
1,1,0,2.0,5.0,6.3,0.53,1.0
1,1,1,2.0,4.0,6.8,0.59,0.8
1,0,1,3.0,5.0,3.8,0.29,1.5
0,0,1,1.0,2.0,2.7,0.19,0.2
0,1,0,4.0,7.0,8.1,0.65,2.8
0,0,1,1.0,1.0,1.3,0.02,0.1
0,1,1,2.0,4.0,7.0,0.47,0.8
0,1,0,2.0,5.0,6.6,0.43,1.0
0,1,0,2.0,5.0,7.9,0.61,1.0
0,0,0,0.0,2.0,4.7,0.33,0.0
0,1,0,2.0,4.0,7.9,0.6,0.8
0,0,0,2.0,6.0,6.4,0.52,1.2
1,1,1,5.0,9.0,9.3,0.93,4.5
1,0,0,2.0,4.0,6.3,0.47,0.8
1,1,0,3.0,7.0,6.9,0.51,2.1
0,1,1,1.0,1.0,4.9,0.26,0.1
0,0,1,3.0,4.0,5.2,0.42,1.2
0,1,0,2.0,5.0,6.2,0.58,1.0
0,1,1,1.0,2.0,5.3,0.3,0.2
1,0,1,3.0,6.0,6.2,0.56,1.8
1,0,0,2.0,5.0,6.1,0.57,1.0
0,1,1,2.0,3.0,5.5,0.3,0.6
1,1,0,4.0,8.0,9.5,0.86,3.2
1,0,0,2.0,6.0,6.3,0.62,1.2
1,1,1,3.0,5.0,5.2,0.41,1.5
1,1,1,1.0,4.0,5.1,0.38,0.4
0,1,1,2.0,5.0,5.9,0.41,1.0
0,1,0,2.0,5.0,5.8,0.46,1.0
0,1,0,2.0,4.0,5.9,0.44,0.8
0,0,0,1.0,1.0,3.2,0.24,0.1
0,1,1,2.0,4.0,6.1,0.39,0.8
0,1,0,2.0,4.0,7.5,0.53,0.8
0,1,0,2.0,2.0,3.9,0.21,0.4
1,1,0,4.0,8.0,8.4,0.77,3.2
0,0,1,1.0,2.0,6.0,0.37,0.2
1,1,1,1.0,3.0,4.9,0.38,0.3
1,0,1,3.0,4.0,6.3,0.47,1.2
1,1,0,4.0,8.0,8.0,0.69,3.2
1,1,0,2.0,7.0,7.1,0.72,1.4
1,1,0,4.0,8.0,7.3,0.73,3.2
0,0,0,4.0,8.0,8.2,0.72,3.2
0,0,0,2.0,6.0,7.1,0.58,1.2
0,1,1,2.0,5.0,4.5,0.38,1.0
0,1,1,1.0,4.0,5.0,0.36,0.4
1,1,0,2.0,5.0,4.2,0.32,1.0
1,0,1,1.0,3.0,4.8,0.35,0.3
0,1,1,4.0,8.0,9.4,0.83,3.2
1,1,1,4.0,7.0,7.9,0.73,2.8
1,0,1,0.0,2.0,2.1,0.15,0.0
1,1,1,2.0,5.0,4.2,0.3,1.0
1,1,0,1.0,3.0,6.6,0.47,0.3
0,0,0,4.0,6.0,7.1,0.68,2.4
1,0,0,5.0,10.0,9.7,0.87,5.0
0,0,1,1.0,2.0,5.5,0.4,0.2
0,1,0,1.0,3.0,5.2,0.43,0.3
1,0,0,4.0,7.0,8.4,0.64,2.8
1,0,0,2.0,3.0,3.4,0.26,0.6
1,1,0,2.0,4.0,7.2,0.59,0.8
1,1,0,2.0,6.0,7.0,0.52,1.2
0,1,0,2.0,5.0,7.3,0.56,1.0
1,1,0,3.0,6.0,6.5,0.56,1.8
1,1,0,1.0,4.0,5.8,0.53,0.4
1,1,0,2.0,4.0,6.2,0.4,0.8
0,1,0,2.0,4.0,4.2,0.31,0.8
1,1,0,1.0,5.0,6.6,0.54,0.5
1,0,0,2.0,6.0,7.5,0.55,1.2
1,1,1,1.0,2.0,3.8,0.22,0.2
0,0,1,3.0,5.0,5.0,0.4,1.5
1,1,1,3.0,6.0,7.9,0.64,1.8
1,1,1,3.0,5.0,6.5,0.48,1.5
0,1,1,1.0,3.0,5.2,0.39,0.3
0,1,1,3.0,5.0,5.6,0.4,1.5
0,0,1,2.0,4.0,6.2,0.49,0.8
0,1,0,2.0,2.0,3.9,0.29,0.4
1,1,1,2.0,5.0,6.1,0.41,1.0
1,1,1,2.0,5.0,5.5,0.37,1.0
1,0,0,3.0,6.0,8.6,0.68,1.8
0,1,1,2.0,5.0,7.1,0.58,1.0
0,1,0,2.0,6.0,6.9,0.55,1.2
0,0,1,2.0,3.0,6.9,0.5,0.6
1,0,1,2.0,3.0,6.3,0.44,0.6
1,1,1,2.0,3.0,5.7,0.37,0.6
1,1,0,3.0,7.0,6.3,0.62,2.1
1,0,0,2.0,4.0,6.7,0.57,0.8
1,1,1,3.0,5.0,4.9,0.37,1.5
1,1,1,1.0,4.0,5.4,0.35,0.4
1,1,0,4.0,6.0,7.0,0.55,2.4
0,1,1,2.0,4.0,6.5,0.61,0.8
1,0,1,2.0,3.0,4.0,0.2,0.6
0,0,1,0.0,1.0,4.0,0.2,0.0
0,1,1,1.0,3.0,3.7,0.17,0.3
1,1,0,2.0,4.0,5.2,0.47,0.8
1,1,0,0.0,1.0,2.8,0.12,0.0
0,0,0,3.0,6.0,8.2,0.65,1.8
0,1,1,3.0,4.0,5.5,0.42,1.2
0,1,0,1.0,1.0,3.6,0.28,0.1
1,0,1,2.0,5.0,6.9,0.67,1.0
0,0,0,5.0,9.0,9.4,0.88,4.5
1,1,1,1.0,3.0,3.6,0.29,0.3
1,1,0,2.0,5.0,6.8,0.6,1.0
1,1,1,0.0,1.0,3.8,0.17,0.0
0,0,1,1.0,2.0,1.6,0.08,0.2
1,1,0,2.0,4.0,5.4,0.48,0.8
0,1,0,2.0,4.0,7.3,0.51,0.8
0,1,1,0.0,2.0,4.0,0.3,0.0
0,1,0,2.0,4.0,7.0,0.54,0.8
0,1,0,4.0,8.0,7.8,0.74,3.2
1,1,1,1.0,3.0,3.4,0.29,0.3
1,0,0,3.0,6.0,7.4,0.52,1.8
0,0,0,3.0,6.0,6.6,0.46,1.8
0,1,0,1.0,3.0,4.7,0.37,0.3
1,1,1,1.0,4.0,4.7,0.36,0.4
1,0,0,2.0,5.0,4.9,0.39,1.0
1,1,0,2.0,6.0,8.7,0.7,1.2
0,0,0,2.0,4.0,5.6,0.38,0.8
1,1,1,5.0,9.0,9.4,0.88,4.5
1,1,1,1.0,2.0,3.6,0.22,0.2
0,1,0,3.0,6.0,7.2,0.63,1.8
1,0,0,2.0,5.0,7.2,0.66,1.0
0,1,1,2.0,5.0,6.5,0.49,1.0
1,1,0,1.0,2.0,5.2,0.44,0.2
0,1,1,2.0,4.0,5.5,0.45,0.8
0,0,1,0.0,1.0,4.1,0.2,0.0
1,1,0,5.0,10.0,9.2,0.75,5.0
0,0,1,1.0,1.0,2.6,0.09,0.1
0,1,0,1.0,2.0,5.5,0.39,0.2
1,1,1,2.0,4.0,2.5,0.14,0.8
0,1,1,3.0,7.0,5.8,0.55,2.1
0,1,1,1.0,1.0,3.2,0.2,0.1
1,0,0,3.0,7.0,8.3,0.66,2.1
1,1,0,1.0,3.0,4.6,0.38,0.3
0,1,0,2.0,4.0,6.8,0.46,0.8
1,1,1,1.0,3.0,4.9,0.43,0.3
1,1,0,3.0,6.0,6.4,0.51,1.8
0,1,0,2.0,4.0,6.9,0.5,0.8
0,1,0,2.0,5.0,6.0,0.55,1.0
0,1,1,3.0,5.0,6.5,0.5,1.5
0,0,1,1.0,2.0,5.7,0.48,0.2
1,1,0,2.0,5.0,7.6,0.6,1.0
1,1,0,3.0,5.0,6.0,0.53,1.5
0,0,1,1.0,3.0,5.6,0.34,0.3
0,0,1,3.0,5.0,5.7,0.39,1.5
0,1,0,3.0,4.0,6.3,0.43,1.2
1,1,1,3.0,7.0,6.7,0.63,2.1
1,1,1,3.0,6.0,4.7,0.43,1.8
0,0,1,2.0,4.0,3.9,0.32,0.8
1,1,1,1.0,4.0,3.8,0.33,0.4
0,0,1,0.0,1.0,3.9,0.21,0.0
1,1,0,4.0,8.0,6.7,0.65,3.2
0,0,1,2.0,2.0,3.5,0.27,0.4
0,1,0,3.0,8.0,7.9,0.76,2.4
0,1,1,1.0,1.0,2.0,0.04,0.1
0,0,0,0.0,1.0,1.7,0.13,0.0
0,0,1,1.0,4.0,6.7,0.5,0.4
0,1,1,1.0,3.0,3.2,0.11,0.3
0,0,1,1.0,2.0,4.9,0.42,0.2
1,1,0,3.0,6.0,8.8,0.7,1.8
1,1,1,3.0,5.0,6.2,0.41,1.5
1,0,0,1.0,3.0,4.2,0.25,0.3
0,0,1,0.0,2.0,3.3,0.18,0.0
0,1,0,1.0,2.0,5.2,0.28,0.2
1,1,1,2.0,3.0,6.4,0.44,0.6
0,0,0,3.0,6.0,6.6,0.52,1.8
0,1,1,1.0,2.0,4.8,0.28,0.2
0,0,0,2.0,5.0,6.2,0.53,1.0
0,1,1,0.0,2.0,4.7,0.27,0.0
0,1,0,0.0,1.0,3.1,0.14,0.0
0,0,0,3.0,6.0,6.0,0.53,1.8
0,1,1,1.0,2.0,3.3,0.24,0.2
0,0,0,3.0,6.0,8.1,0.67,1.8
0,0,1,2.0,4.0,6.2,0.38,0.8
1,1,1,2.0,6.0,6.9,0.65,1.2
0,1,0,1.0,3.0,5.5,0.46,0.3
0,1,0,3.0,5.0,4.2,0.31,1.5
0,1,0,3.0,7.0,6.1,0.55,2.1
0,0,0,0.0,1.0,0.0,0.0,0.0
0,0,0,4.0,7.0,6.2,0.51,2.8
0,0,1,1.0,3.0,4.7,0.23,0.3
0,1,1,2.0,4.0,5.1,0.41,0.8
0,1,0,1.0,2.0,4.7,0.27,0.2
1,1,1,1.0,3.0,6.1,0.41,0.3
0,0,0,2.0,4.0,2.7,0.16,0.8
1,1,0,4.0,7.0,6.9,0.66,2.8
0,1,1,3.0,6.0,5.9,0.49,1.8
0,1,0,1.0,3.0,4.4,0.29,0.3
1,1,1,3.0,5.0,6.5,0.47,1.5
0,1,1,2.0,4.0,4.6,0.31,0.8
0,0,0,2.0,5.0,6.8,0.65,1.0
1,0,1,2.0,5.0,6.5,0.51,1.0
1,0,1,1.0,2.0,3.6,0.2,0.2
0,1,1,1.0,2.0,3.9,0.25,0.2
1,1,0,2.0,6.0,6.4,0.57,1.2
0,1,1,3.0,5.0,5.2,0.48,1.5
1,1,0,2.0,5.0,7.6,0.73,1.0
0,1,1,0.0,1.0,3.8,0.22,0.0
0,1,0,2.0,5.0,7.7,0.59,1.0
1,0,1,1.0,3.0,5.5,0.33,0.3
1,1,0,2.0,5.0,7.4,0.55,1.0
1,1,0,1.0,4.0,4.8,0.36,0.4
1,1,1,1.0,3.0,4.2,0.27,0.3
0,0,1,2.0,4.0,5.9,0.41,0.8
0,1,0,3.0,6.0,6.0,0.53,1.8
0,1,0,4.0,8.0,9.0,0.74,3.2
1,0,0,2.0,6.0,6.7,0.54,1.2
1,1,1,3.0,6.0,6.1,0.56,1.8
1,1,0,1.0,3.0,5.2,0.32,0.3
1,1,0,4.0,7.0,6.7,0.51,2.8
0,1,1,2.0,4.0,5.6,0.35,0.8
1,1,0,1.0,2.0,5.3,0.49,0.2
0,1,1,4.0,6.0,7.7,0.67,2.4
0,1,0,2.0,4.0,3.5,0.29,0.8
1,1,0,2.0,4.0,4.7,0.4,0.8
1,1,1,3.0,6.0,5.0,0.35,1.8
0,1,1,1.0,2.0,4.7,0.23,0.2
1,0,1,1.0,4.0,6.4,0.41,0.4
1,1,1,3.0,6.0,7.3,0.59,1.8
0,0,1,1.0,4.0,5.1,0.39,0.4
0,0,1,1.0,4.0,6.0,0.44,0.4
1,1,0,4.0,7.0,7.6,0.68,2.8
1,1,0,2.0,4.0,6.0,0.42,0.8
1,1,1,3.0,5.0,6.3,0.44,1.5
0,1,0,4.0,6.0,7.2,0.64,2.4
0,1,0,2.0,3.0,3.4,0.18,0.6
1,1,0,2.0,4.0,5.9,0.39,0.8
0,0,1,2.0,4.0,4.0,0.32,0.8
1,1,0,2.0,6.0,6.1,0.58,1.2
1,1,1,4.0,7.0,5.6,0.49,2.8
1,1,0,3.0,5.0,6.1,0.6,1.5
1,1,0,2.0,6.0,8.1,0.65,1.2
0,1,1,3.0,4.0,5.2,0.29,1.2
1,1,1,0.0,1.0,3.1,0.17,0.0
0,0,0,3.0,6.0,6.1,0.56,1.8
0,1,1,3.0,6.0,5.6,0.43,1.8
0,1,1,1.0,2.0,4.5,0.29,0.2
1,0,1,3.0,6.0,6.6,0.65,1.8
0,1,0,4.0,7.0,7.0,0.6,2.8
0,1,1,3.0,5.0,5.4,0.34,1.5
0,1,1,2.0,4.0,5.5,0.33,0.8
0,1,1,3.0,6.0,4.6,0.35,1.8
1,1,0,5.0,9.0,7.8,0.79,4.5
0,1,1,1.0,4.0,4.8,0.41,0.4
1,1,0,4.0,8.0,9.6,0.86,3.2
0,1,1,3.0,7.0,8.0,0.8,2.1
0,0,1,3.0,5.0,5.1,0.32,1.5
0,1,0,3.0,6.0,8.7,0.76,1.8
0,1,1,0.0,1.0,2.6,0.15,0.0
0,0,0,3.0,5.0,5.7,0.54,1.5
1,1,0,4.0,8.0,8.8,0.7,3.2
0,1,0,3.0,7.0,7.7,0.57,2.1
0,0,0,1.0,3.0,5.5,0.44,0.3
0,0,0,3.0,6.0,4.9,0.32,1.8
0,0,0,3.0,5.0,4.7,0.38,1.5
1,0,0,4.0,7.0,9.2,0.82,2.8
1,0,0,3.0,7.0,6.2,0.58,2.1
0,1,0,5.0,10.0,9.5,0.94,5.0
0,1,0,3.0,6.0,5.3,0.43,1.8
0,1,1,1.0,4.0,6.8,0.5,0.4
0,0,0,2.0,3.0,6.1,0.41,0.6
1,1,1,2.0,3.0,3.3,0.25,0.6
1,1,0,2.0,6.0,5.5,0.51,1.2
1,1,0,2.0,7.0,8.8,0.8,1.4
0,1,0,2.0,4.0,5.7,0.36,0.8
0,1,1,3.0,4.0,4.3,0.38,1.2
0,0,1,1.0,4.0,6.2,0.41,0.4
0,0,0,3.0,5.0,7.1,0.64,1.5
0,1,1,2.0,5.0,3.7,0.3,1.0
1,0,0,3.0,6.0,5.7,0.44,1.8
1,1,0,1.0,1.0,3.6,0.15,0.1
0,1,0,4.0,8.0,7.5,0.71,3.2
1,1,0,2.0,5.0,6.8,0.54,1.0
0,1,1,2.0,3.0,5.7,0.44,0.6
0,1,0,1.0,2.0,0.7,0.0,0.2
0,1,1,1.0,2.0,2.9,0.15,0.2
0,1,1,3.0,7.0,7.5,0.77,2.1
1,1,0,2.0,3.0,6.3,0.48,0.6
0,1,1,2.0,4.0,5.6,0.43,0.8
1,1,1,2.0,4.0,2.8,0.11,0.8
1,1,1,2.0,6.0,7.5,0.76,1.2
1,1,0,1.0,1.0,5.1,0.29,0.1
